name,host_name,neighbourhood_group,neighbourhood,room_type,price,service_fee,minimum_nights,number_of_reviews,review_rate_number,availability_365
Gorgeous Spacious Bedroom In Ridgewood Queens,Mark,Queens,Ridgewood,Private room,1001.0,200.0,7,0,5.0,89
Brooklyn Retreat,Julian,Brooklyn,Bushwick,Private room,142.0,28.0,5,31,3.0,338
Bright Apartment in BedStuy - 20 min from City,Paula,Brooklyn,Bedford-Stuyvesant,Entire home/apt,92.0,18.0,2,11,4.0,0
"Chelsea living, 2BR best location",Kirsten,Manhattan,Chelsea,Private room,839.0,168.0,2,37,2.0,362
Sunny room with private entrance in shared home,Tiffany,Queens,Ridgewood,Private room,500.0,100.0,1,0,5.0,0
Charming private Studio,Tonia,Staten Island,Randall Manor,Entire home/apt,313.0,63.0,30,213,4.0,269
Beautiful LARGE 1BDR Apt in the Heart of Manhattan,Your Hostess,Manhattan,Upper West Side,Entire home/apt,536.0,107.0,30,52,5.0,0
"Serene Storefront Studio, a private cozy hideaway",Jennifer,Brooklyn,Crown Heights,Entire home/apt,829.0,166.0,1,22,3.0,30
comfy room minutes from museums,Danielle,Bronx,Mott Haven,Private room,231.0,46.0,1,23,2.0,333
Noho Modern 2 +2 Living,Jeff,Manhattan,Greenwich Village,Entire home/apt,355.0,71.0,4,0,5.0,22
Large 1 Bedroom Park Slope Brownstone Apartment,Tara,Brooklyn,Park Slope,Entire home/apt,407.0,81.0,7,3,2.0,9
Comfy 1 bedroom in spacious lower east side apt,Shauna,Manhattan,East Village,Private room,56.0,11.0,2,1,4.0,0
NYC Summer Getaway | Full Home 2BR,Johnston,Queens,Astoria,Entire home/apt,241.0,48.0,3,7,2.0,205
Comfy 1 bedroom in the heart of HARLEM,Jamesetta,Manhattan,Harlem,Private room,1066.0,213.0,2,7,4.0,0
Chelsea Apartment/Flat- sleeps up to 4,Kevin,Manhattan,Chelsea,Entire home/apt,235.0,47.0,2,8,3.0,0
Sonder | The Biltmore | Warm Studio + Rooftop,Sonder (NYC),Manhattan,Theater District,Entire home/apt,732.0,146.0,29,0,3.0,333
Charming Upper Manhattan Apartment,Talia,Manhattan,Washington Heights,Entire home/apt,176.0,35.0,3,4,4.0,0
SPACIOUS 2BR 2BATH IN THE HEART OF YORKVILLE,Pranjal,Manhattan,Upper East Side,Entire home/apt,867.0,173.0,30,0,4.0,364
Private room in bright and spacious loft,Victoria,Manhattan,East Village,Private room,313.0,63.0,2,44,4.0,0
138 Bowery-King Suite w. Living Room Space,Jeniffer,Manhattan,Nolita,Entire home/apt,280.0,56.0,15,18,2.0,71
Home away from home,Rosemary,Queens,Maspeth,Private room,503.0,101.0,1,0,2.0,88
Charming and Artsy Studio Apartment,Jake And Catharine,Brooklyn,Bedford-Stuyvesant,Entire home/apt,729.0,146.0,3,151,3.0,42
Cozy 1 Bedroom Apt~Midtown-East Manhattan NYC!,Kelley,Manhattan,Midtown,Entire home/apt,261.0,52.0,1,8,4.0,29
Manhattan &Time Square Less than 30min 1st floor.,Devika,Queens,Sunnyside,Private room,791.0,158.0,5,47,3.0,266
Charming & Spacious Loft in Clinton Hill,Elsa,Brooklyn,Clinton Hill,Entire home/apt,409.0,82.0,4,5,5.0,40
"Quiet/Modern Triplex loft, steps to prospect park!",Andrea,Brooklyn,Prospect Heights,Private room,56.0,11.0,5,37,5.0,135
Luxury apt with Statue of Liberty view,Nyc,Manhattan,Financial District,Entire home/apt,126.0,25.0,1,1,5.0,326
Room available in 3 BD Brooklyn apartment,Eleanor,Brooklyn,Clinton Hill,Private room,601.0,120.0,2,0,4.0,0
East Village Launchpad,Suzan,Manhattan,Stuyvesant Town,Private room,1045.0,209.0,2,9,4.0,173
Luxury Townhouse,Ray,Manhattan,East Harlem,Entire home/apt,185.0,37.0,3,53,1.0,104
Prime Williamsburg Large bedroom for 1or2 people,Charles,Brooklyn,Williamsburg,Private room,915.0,183.0,1,221,2.0,206
Clean and spacious private room for your NYC trip!,Virginia,Manhattan,Harlem,Private room,546.0,109.0,6,4,5.0,0
Spacious apartment in Brooklyn,Ashfia & Amir,Brooklyn,Clinton Hill,Entire home/apt,805.0,161.0,2,4,4.0,0
*NO GUEST SERVICE FEE* Luxury One Bedroom Suite in Excellent Midtown Location,Red Awning,Manhattan,Midtown,Entire home/apt,1010.0,202.0,3,0,2.0,206
Lovely & bright apartment in center of Park Slope,Talia,Brooklyn,Park Slope,Entire home/apt,1013.0,203.0,30,17,4.0,0
BedSTUY SupperCLUB,Shirley,Brooklyn,Bedford-Stuyvesant,Private room,244.0,49.0,6,30,3.0,21
JFK Airport Private Room with Bathroom Room 7,Lakshmee,Queens,Jamaica,Private room,898.0,180.0,1,265,5.0,54
Vinegar Hill Gem,Fun,Brooklyn,Vinegar Hill,Private room,635.0,127.0,30,2,5.0,358
Big Bright Room â˜¼ Lower East Side,Daniel,Manhattan,Chinatown,Private room,474.0,95.0,25,11,5.0,323
Cozy-Clean Rm near PPark! Ideal for long stays!,Chanta,Brooklyn,Flatbush,Private room,182.0,36.0,7,5,3.0,46
Apt in Bronx near 6 train 20 min Manhattan or LGA.,Gulshan,Bronx,Soundview,Entire home/apt,417.0,83.0,1,54,3.0,326
JULY SALE ! PRIVATE ROOM UPPER EAST SIDE NYC,Gal,Manhattan,Upper East Side,Private room,333.0,67.0,21,2,2.0,131
"5m walk to L, Great Location â¤ï¸ Priv. Bath/Balcony",Benjamin,Brooklyn,Williamsburg,Private room,412.0,82.0,5,66,5.0,25
Harlem guest room!  Welcome to New York,Luke&Quincey,Manhattan,Harlem,Private room,863.0,173.0,2,1,3.0,156
Entire Apt. in E. Williamsburg,Ava,Brooklyn,Williamsburg,Entire home/apt,564.0,113.0,1,0,4.0,295
A beautiful comfy & spacious room.,Francisca,Bronx,Longwood,Private room,544.0,109.0,2,77,3.0,365
Unknown Listing,Alice,Brooklyn,Bedford-Stuyvesant,Private room,56.0,11.0,2,1,4.0,0
Beautiful modern room with private bathroom,Darin,Manhattan,Gramercy,Private room,754.0,151.0,1,160,3.0,242
"Charming cozy bedroom, Downtown",Monte,Manhattan,Battery Park City,Private room,362.0,72.0,2,31,2.0,0
Sonder | Stock Exchange | Incredible 3BR + Lounge,Sonder (NYC),Manhattan,Financial District,Entire home/apt,96.0,19.0,2,6,3.0,316
Lovely 1st floor studio,Isa,Queens,Astoria,Entire home/apt,264.0,53.0,2,19,3.0,310
"106th and Amsterdam open, spacious apartment!",Jessica,Manhattan,Upper West Side,Private room,271.0,54.0,1,5,4.0,32
Pibbles and friends,Miho And Justin,Brooklyn,Fort Greene,Private room,167.0,33.0,3,92,1.0,130
Dream Home Center of NEW YORK CITY with 2 Bath,Val,Manhattan,Chelsea,Entire home/apt,634.0,127.0,1,12,5.0,333
Beautiful Modern Spacious 3 bedroom Apartment,Marie,Brooklyn,Flatlands,Entire home/apt,473.0,95.0,2,64,5.0,194
Amazing apt in Brooklyn close to Prospect Park A,Hitalo,Brooklyn,Prospect-Lefferts Gardens,Private room,807.0,161.0,1,19,3.0,199
"NYC & Luxury, quiet, safe well located",Niki,Manhattan,Upper East Side,Entire home/apt,615.0,123.0,2,48,3.0,40
Big Brnstn Grdn Apt 2 stops to Midtown,Lauren,Manhattan,Harlem,Entire home/apt,904.0,181.0,1,50,3.0,265
Beautiful studio apartment in Sunnyside,June,Queens,Sunnyside,Entire home/apt,495.0,99.0,2,111,1.0,252
Visit the Big Apple! Mini-MOMA. Enjoy all of NYC!,Shannon,Manhattan,Harlem,Private room,605.0,121.0,1,60,3.0,182
Private Room For The Night,Alejandro,Queens,Corona,Private room,146.0,29.0,1,0,5.0,365
Nicely decorated Room,MiriamYasmine,Queens,Elmhurst,Private room,620.0,124.0,2,1,3.0,338
Penthouse loft with private patio,Ole,Manhattan,Midtown,Entire home/apt,853.0,171.0,3,12,1.0,293
Peaceful and Clean Home in Fort Greene.,JeanRobert,Brooklyn,Clinton Hill,Private room,891.0,178.0,3,4,4.0,0
Cozy 1 Bedroom Apt~Midtown-East Manhattan NYC!,Kelley,Manhattan,Midtown,Entire home/apt,261.0,52.0,1,8,4.0,29
High End Hand Crafted Manhattan Two Bedroom Beauty,Tyreik,Manhattan,Harlem,Private room,530.0,106.0,5,8,2.0,0
Lenox Hill - 1 bedroom Apt (Entire Apartment),Ngoyi,Manhattan,Upper East Side,Entire home/apt,373.0,75.0,6,2,2.0,27
PRIVATE BEDROOM in spacious apartment in the UWS!,Nico,Manhattan,Upper West Side,Private room,326.0,65.2,3,14,5.0,0
2 Bedroom Garden Apartment in Brooklyn,Jeannie & Everett,Brooklyn,Bedford-Stuyvesant,Entire home/apt,521.0,104.0,4,42,4.0,244
Cozy Entire Apartment in Upper East,Stay And Smile,Manhattan,Upper East Side,Entire home/apt,777.0,155.0,3,7,5.0,287
2 Bedroom Apartment in Prime Midtown West,Allan,Manhattan,Hell's Kitchen,Entire home/apt,1121.0,224.0,3,110,3.0,170
True West Village Experience-1 Bdrm,Deborah,Manhattan,Greenwich Village,Entire home/apt,553.0,111.0,6,45,1.0,188
Sonder | Stock Exchange | Playful 1BR + Laundry,Sonder (NYC),Manhattan,Financial District,Entire home/apt,107.0,21.0,2,10,4.0,292
Studio Apartment,Peter,Manhattan,Upper East Side,Entire home/apt,784.0,157.0,1,0,2.0,26
"Stylish, art-filled apartment near Hudson River",Eileen,Manhattan,Washington Heights,Entire home/apt,307.0,61.0,11,1,2.0,342
Spacious Private 2BR Apartment in Brooklyn!,Nicole,Brooklyn,Bensonhurst,Entire home/apt,1093.0,219.0,3,34,3.0,170
"Sunny Apt, park view - Jeffreson L",Josh,Brooklyn,Bushwick,Entire home/apt,950.0,190.0,5,0,5.0,231
"Williamsburgâ€”Steps To Subway, Private Bath&Balcony",April,Brooklyn,Williamsburg,Private room,887.0,177.0,3,335,1.0,61
"Comfy, Convenient Upper West Side Condo Room",Rachel & Preston,Manhattan,Upper West Side,Private room,689.0,138.0,2,3,2.0,0
Private one bedroom in Astoria (Halletts Point),Courtney,Queens,Astoria,Private room,588.0,118.0,1,50,2.0,61
Newly Furnished 1BD Near Train!,Frankie,Queens,Ditmars Steinway,Entire home/apt,245.0,49.0,1,268,5.0,120
BEAUTIFUL PRIVATE ROOM,Shuly,Queens,Ditmars Steinway,Private room,1148.0,230.0,1,72,4.0,296
The Sunset Affair,Aj,Brooklyn,Bedford-Stuyvesant,Entire home/apt,503.0,101.0,1,91,5.0,79
Large Private 1 Bedroom Apt in Hell's Kitchen Area,Justin,Manhattan,Hell's Kitchen,Entire home/apt,601.0,120.0,3,17,2.0,5
"New, Lovely Studio in Long Island City",Jerry,Queens,Long Island City,Entire home/apt,460.0,92.0,7,0,2.0,0
Guest suite in owner-occupied private residence,Martin,Brooklyn,Bushwick,Entire home/apt,882.0,176.0,2,72,3.0,146
â˜… CLEAN/ELEGANT TWO BEDROOM APARTMENT â˜…,Nour,Manhattan,Upper East Side,Entire home/apt,554.0,111.0,5,15,2.0,146
"The Warm Room @ our ""KutKave""",Knight,Brooklyn,Bushwick,Private room,743.0,149.0,2,46,3.0,79
New Law in New York | NO  rentals under 30 days..,Lancelot,Brooklyn,Carroll Gardens,Entire home/apt,411.0,82.0,30,4,2.0,321
Trendy Private Bedroom in BedStuy,Alex And Vlada,Brooklyn,Bedford-Stuyvesant,Private room,1033.0,207.0,30,1,5.0,303
Momma Roses' Garden Stay,Wakenna,Brooklyn,Fort Greene,Entire home/apt,1032.0,206.0,1,15,4.0,134
"Private Room, 2 beds, bath, Union Square location",Jp,Manhattan,Gramercy,Private room,452.0,90.0,2,79,5.0,69
Cozy Room Times Square + ALL Museums Free Pass,Sergio,Manhattan,Hell's Kitchen,Private room,840.0,168.0,5,20,3.0,178
West Village Paradise - Large 1 bedroom,Emanuel,Manhattan,West Village,Entire home/apt,887.0,177.0,3,18,3.0,175
Cozy 1 bedroom apartment in Fort Greene,Alyssa,Brooklyn,Fort Greene,Entire home/apt,896.0,179.0,1,1,5.0,0
Fun Space in the Heart of Williamsburg,Jamie,Brooklyn,Williamsburg,Private room,1142.0,228.0,1,1,4.0,331
Artist apartment in LIC,Grace,Queens,Long Island City,Shared room,872.0,174.0,1,1,4.0,173
Cool Studio in Brooklyn,Max,Brooklyn,Bedford-Stuyvesant,Entire home/apt,111.0,22.0,1,4,4.0,0
Welcome to NYC! Modern Luxury 2 BR-5 min from JFK,Taran & Najla,Queens,Jamaica,Entire home/apt,563.0,112.60000000000001,1,103,1.0,10
Cozy Bed/Bath w/Appliances Close to JFK/LGA,Carolyn,Queens,Cambria Heights,Private room,306.0,61.0,1,78,2.0,78
NiceRoomNiceNeighborhoodCloseMaimonidesHospitaNYUH,Regina,Brooklyn,Borough Park,Private room,1016.0,203.0,30,69,3.0,337
COLUMBUS CIRCLE~100% FURNISHED W.58,Mike,Manhattan,Upper West Side,Entire home/apt,118.0,24.0,30,1,1.0,146
Bed room close to NYCâ¬†ï¸Ž with lots of sun lightâ˜€ï¸,Haruhisa,Queens,Elmhurst,Private room,412.0,82.0,29,2,5.0,32
Greenwich Village Living!,Mo,Manhattan,East Village,Entire home/apt,229.0,46.0,2,0,4.0,119
Very convinced new room for 2 at affordable price,Joey,Queens,Ridgewood,Private room,110.0,22.0,1,37,2.0,45
Loft Like Studio in Luxury Building,Brian,Manhattan,Battery Park City,Entire home/apt,767.0,153.0,1,0,4.0,65
Bahia Brazil Vibe - Entire apt,Miralva,Brooklyn,Flatbush,Entire home/apt,1195.0,239.0,3,26,2.0,161
New 2br PRIME upper East APT. *W&D In Unit*,Jt,Manhattan,Upper East Side,Entire home/apt,1048.0,210.0,30,1,4.0,66
Lovely studio rental in historic Brooklyn Heights,Shalon,Brooklyn,Brooklyn Heights,Entire home/apt,972.0,194.0,3,6,4.0,4
Private room in Sunnyside 2 46th St,Nurcan,Queens,Sunnyside,Private room,990.0,198.0,1,168,5.0,322
Designer Upper East side apartment Two entrances.,Tia,Manhattan,Upper East Side,Entire home/apt,97.0,19.0,4,38,4.0,196
Amazing View from Contemporary Loft,Chris,Manhattan,Midtown,Shared room,820.0,164.0,1,66,3.0,40
Medical Student Room B : Brooklyn Hospitals,Rosemarie,Brooklyn,East Flatbush,Private room,354.0,71.0,30,5,4.0,263
"Sunny, Large, Park Slope Bedroom",Valeria,Brooklyn,Park Slope,Private room,951.0,190.0,1,211,2.0,269
SJUå¤§å­¦,Peng,Queens,Flushing,Shared room,1061.0,212.0,1,0,2.0,0
Spacious Home South Prospect Park,Ken,Brooklyn,Kensington,Entire home/apt,601.0,120.0,4,1,4.0,90
Tranquil Haven Entire Studio 8mins JFK/Air Train,Sharon,Queens,Jamaica,Entire home/apt,1012.0,202.0,1,70,3.0,80
An Oasis in the Big Apple,Arianna,Manhattan,Morningside Heights,Entire home/apt,1180.0,236.0,5,0,1.0,0
Cozy and modern studio by the park,Olivia,Manhattan,Upper East Side,Entire home/apt,1165.0,233.0,3,0,5.0,0
Large junior 1 bedroom  suite in Midtown Manhattan,Stanley,Manhattan,Murray Hill,Entire home/apt,463.0,93.0,30,3,5.0,364
Deluxe Loft Suite,Franklin,Brooklyn,Greenpoint,Private room,94.0,19.0,1,1,3.0,249
Small Bedroom in Heart of SoHo,Sandra,Manhattan,SoHo,Private room,123.0,25.0,3,1,1.0,0
"Full Apartment, 1 Bedroom",Miguel,Bronx,Kingsbridge,Entire home/apt,201.0,40.0,2,13,5.0,0
"Private Bedroom, in a first floor duplex",Aba,Brooklyn,Bedford-Stuyvesant,Private room,597.0,119.0,1,7,3.0,0
Sunny apt. in Renovated brownstone,Edna Luise,Manhattan,East Village,Entire home/apt,167.0,33.0,12,10,2.0,267
3 Bedroom Spacious Apartment,Hamza,Bronx,Port Morris,Entire home/apt,141.0,28.0,2,11,3.0,6
Cozy Room For Two/ Steps to Train/Coffee included!,Darryl,Manhattan,Harlem,Private room,425.0,85.0,2,26,4.0,157
Ft Greene: 2-3 Bedroom Duplex w/Garden,Heather,Brooklyn,Fort Greene,Entire home/apt,174.0,35.0,6,7,4.0,5
Carroll Gardens Brooklyn Apt. Minutes to Manhattan,Tony,Brooklyn,Carroll Gardens,Entire home/apt,258.0,52.0,3,76,2.0,14
Perfect Escape in NYC! #6,Ira,Manhattan,Nolita,Entire home/apt,570.0,114.0,60,10,1.0,263
Cute studio in the Upper West Side.,Ai,Manhattan,Upper West Side,Entire home/apt,777.0,155.0,2,12,2.0,5
Huge & Sunny room in Williamsburg,Marcos,Brooklyn,Williamsburg,Private room,628.0,126.0,5,1,3.0,10
"Bright and lovely flat in Williamsburg, Brooklyn",Maxime,Brooklyn,Williamsburg,Entire home/apt,562.0,112.0,6,3,2.0,25
Sophisticated and Cozy Pre-War 2 bedroom,Adelaide,Manhattan,Upper West Side,Entire home/apt,246.0,49.0,30,0,3.0,310
La Quinta Central Park West,Vijay,Manhattan,Upper West Side,Private room,327.0,65.0,1,4,5.0,270
Beige Room in Rego Park,Iso,Queens,Rego Park,Private room,601.0,120.0,1,131,5.0,294
The Rutland,Anthony,Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,313.0,63.0,3,3,2.0,0
Musa Property,Clif,Queens,Rosedale,Entire home/apt,484.0,97.0,2,31,2.0,142
Entire Private Brownstone in Brooklyn,Sam,Brooklyn,Dyker Heights,Entire home/apt,115.0,23.0,1,69,2.0,127
Historic 2 bedroom Bed- Stuy  Brownstone,Ken,Brooklyn,Bedford-Stuyvesant,Entire home/apt,599.0,120.0,2,15,5.0,299
West Village Gem - 2BR,David,Manhattan,West Village,Entire home/apt,581.0,116.0,3,7,3.0,235
Large Brooklyn Apartment.,Nathaniel,Brooklyn,Flatlands,Private room,447.0,89.0,1,7,1.0,160
â™¡Private Rm/Women's Safe Art Homeâ™¡,Sarah,Brooklyn,Bedford-Stuyvesant,Private room,618.0,124.0,1,4,3.0,38
Private Sunny Room in Park Slope,Ana,Brooklyn,Sunset Park,Private room,78.0,16.0,10,1,3.0,60
SPACIOUS 1 BED AMAZING VIEW,Adam,Manhattan,Murray Hill,Entire home/apt,857.0,171.0,30,0,4.0,330
â¤ of Manhattan | Fantastic 1 Bedroom,Kyle,Manhattan,Midtown,Entire home/apt,500.0,100.0,30,0,4.0,364
Midtown West luxury one bedroom,Autumn,Manhattan,Hell's Kitchen,Private room,712.0,142.0,1,0,2.0,265
A nice private room in East Village,å¨,Manhattan,East Village,Private room,203.0,41.0,1,1,4.0,112
Spacious Modern Flat in the Heart of Williamsburg,Patrick,Brooklyn,Williamsburg,Private room,629.0,126.0,1,0,3.0,66
"â¥â¥2*NYC Cozy: 4min/subway, 25m/city, 20m/LGA,JFKâ¥â¥",Annie Lawrence,Queens,Woodhaven,Private room,647.0,129.0,3,0,5.0,41
20-Minute Subway Ride to Times Square,Ricardo,Queens,Ditmars Steinway,Private room,971.0,194.0,2,1,3.0,0
Lovely Two bedroom unit in Queens,Fei,Queens,Maspeth,Entire home/apt,987.0,197.0,1,31,5.0,118
Charming Three Bed Loft w/Outdoor Space - Brooklyn,Freddy,Brooklyn,Bedford-Stuyvesant,Entire home/apt,833.0,167.0,1,6,2.0,323
2br - The Heart of NYC: Manhattans Lower East Side,Matt,Manhattan,Lower East Side,Entire home/apt,814.0,163.0,30,0,3.0,365
last minute TRIBECA CONDO AVAILABLE,Jupira,Manhattan,Tribeca,Entire home/apt,71.0,14.0,7,16,5.0,90
"Village Life, 2-Bedroom, East Village",Sascha,Manhattan,East Village,Private room,324.0,65.0,3,182,2.0,198
Sunny New Brownstone Patio 1BR Home-Office W/D,Edward,Brooklyn,Bedford-Stuyvesant,Entire home/apt,945.0,189.0,30,2,4.0,241
Surfers Dream - Brand New renovated home- KING BED,Nathan,Queens,Arverne,Entire home/apt,1151.0,230.0,30,1,4.0,289
Un rinconcito en New York A cozy room inNew York,Carmen,Bronx,Edenwald,Private room,910.0,182.0,2,1,2.0,308
Private Room in â€œHipster Times Squareâ€,Stephanie,Brooklyn,Williamsburg,Private room,1052.0,210.0,7,16,5.0,0
Sun-drenched East Village Penthouse,Oliver,Manhattan,East Village,Private room,152.0,30.0,3,81,4.0,171
â™” PrivateRoom Centrally Located Near Pratt/Barclay,Sukhjit,Brooklyn,Bedford-Stuyvesant,Private room,640.0,128.0,5,1,5.0,365
"Spacious, sunny bedroom in Williamsburg/Greenpoint",Anada,Brooklyn,Greenpoint,Private room,911.0,182.0,1,1,5.0,0
Big Studio Apt Convenient Gramercy,Elizabeth,Manhattan,Kips Bay,Entire home/apt,972.0,194.0,1,0,4.0,125
"Large, sunny, quiet, 2 bed apt",Robert,Brooklyn,Prospect Heights,Entire home/apt,826.0,165.0,1,4,2.0,0
Full 1-bedroom near subway into midtown Manhattan,Oliver,Queens,Sunnyside,Entire home/apt,755.0,151.0,3,29,5.0,0
1 bedroom in North Slope with Queen bed & futon,Jodi,Brooklyn,Prospect Heights,Entire home/apt,1171.0,234.0,2,4,5.0,130
1 bedroom in East Village (private ensuite),Danny,Manhattan,East Village,Private room,894.0,179.0,3,3,5.0,0
Modern 1BR Midtown West| Kitchen | Work Desk,Global Luxury Suites,Manhattan,Hell's Kitchen,Entire home/apt,221.0,44.0,30,2,3.0,363
"@FERRY, Private Cozy Room, Renovated&Stylish.",Dine,Staten Island,St. George,Private room,1023.0,205.0,3,87,2.0,193
STUDIO Condo in luxurious Wyndham Midtown 45 NYC,Wynpoints,Manhattan,Midtown,Private room,543.0,109.0,3,3,1.0,365
Beautiful and Sunny Private Room in Brooklyn,Sebastian,Brooklyn,Bushwick,Private room,1139.0,228.0,2,24,1.0,0
Large Bedroom on upper west/columbia,Zichen,Manhattan,Upper West Side,Private room,98.0,20.0,1,3,3.0,98
Large sunny room close to N&D train LGBTQ friendly,Jacob,Brooklyn,Bensonhurst,Private room,833.0,167.0,2,2,2.0,365
City Views Close to SI Ferry,Sergey,Staten Island,Clifton,Entire home/apt,666.0,133.0,1,112,2.0,214
"Cozy & Convenient Private Bedroom in Harlem, NYC.",Christopher,Manhattan,Harlem,Private room,313.0,63.0,1,1,3.0,0
"Bright, modern, cozy 1 bed with amazing view",Enoch,Brooklyn,Williamsburg,Entire home/apt,410.0,82.0,1,4,3.0,72
"Beautiful, Sunny Loft Studio in Heart of Chelsea",Javier,Manhattan,Chelsea,Entire home/apt,948.0,190.0,1,0,5.0,4
Huge Loft Studio in Hip Greenpoint!,Gabriel,Brooklyn,Greenpoint,Shared room,956.0,191.0,1,1,3.0,0
Comfy Room in Large E Williamsburg Apartment,Unknown Host,Brooklyn,Williamsburg,Private room,916.0,183.0,15,0,4.0,187
FULL VIEW NYC Room in Williamsburg & Giant Terrace,Ilginutin,Brooklyn,Williamsburg,Private room,111.0,22.0,6,4,2.0,5
Newly renovated private master & bathroom,Julian,Manhattan,East Village,Private room,690.0,138.0,2,0,3.0,90
Renovated Cozy room  for 2 or solo traveler,Izabel,Brooklyn,Kensington,Private room,632.0,126.0,1,122,5.0,222
Manhattan beautiful studio.,Rachel,Manhattan,East Harlem,Entire home/apt,343.0,69.0,4,0,4.0,90
Charming Room on Prime SoHo Block,Philip,Manhattan,SoHo,Private room,610.0,122.0,1,131,3.0,20
Unknown Listing,Allison,Queens,Long Island City,Entire home/apt,587.0,117.0,3,36,4.0,308
This is NYC-Amazing Bedroom at Financial District,Emma,Manhattan,Financial District,Private room,490.0,98.0,2,3,5.0,262
Reno 2BR~Sleeps5~Prime Upper east~,Eran,Manhattan,Upper East Side,Entire home/apt,487.0,97.0,30,19,4.0,312
Unknown Listing,Roger,Brooklyn,Greenpoint,Entire home/apt,138.0,28.0,3,1,5.0,0
Luxury Apt - Private room & entry!,Jo & Savannah,Brooklyn,Bedford-Stuyvesant,Private room,460.0,92.0,2,151,4.0,0
Lower East Side Summer Rental,Jonathan,Manhattan,Lower East Side,Entire home/apt,286.0,57.0,35,0,5.0,0
Family friendly 2bd  in Boerum/Cobble Hill,Tom/Alissa,Brooklyn,Carroll Gardens,Entire home/apt,606.0,121.0,30,2,3.0,227
East Harlem Studio Apartment,Lynn,Manhattan,East Harlem,Entire home/apt,1034.0,207.0,1,123,1.0,84
Spacious Bedroom in apartment in Hamilton Heights,Magda,Manhattan,Harlem,Private room,255.0,51.0,3,0,5.0,0
Lovely private room in the Bronx,Marcos,Bronx,Fordham,Private room,825.0,165.0,1,4,5.0,89
ROOMY 2BA/3BD - Parking Included,Nancy,Brooklyn,Bedford-Stuyvesant,Entire home/apt,794.0,159.0,3,213,2.0,227
East Village Studio,Robert,Manhattan,East Village,Entire home/apt,1149.0,230.0,1,0,1.0,84
Cozy bedroom in Bushwick Brooklyn!,Rebecca,Brooklyn,Bushwick,Private room,107.0,21.0,3,34,2.0,0
Bargain! Amazing location Orchard St in the LES,Tessa,Manhattan,Chinatown,Private room,132.0,26.0,3,1,3.0,0
"Philosopher's Private Room, Clean, 1.5 Baths",Dwayne,Manhattan,Harlem,Private room,1171.0,234.0,1,48,4.0,365
"Huge Chic LOFT, Natural Sunlight,  Balcony!",Ethan,Manhattan,East Village,Entire home/apt,133.0,27.0,3,4,2.0,89
Charming townhouse w/ private bathroom n backyard,Angi,Bronx,Mott Haven,Private room,122.0,24.0,1,15,2.0,153
A home away from home in the heart of the UES:),Emily,Manhattan,Upper East Side,Entire home/apt,435.0,87.0,5,1,2.0,0
*Jungle Oasis in Bed-Stuy*,Mesha,Brooklyn,Bedford-Stuyvesant,Entire home/apt,994.0,199.0,30,2,4.0,104
New Renovated Bedroom in Prime Manhattan Location,Rob,Manhattan,Midtown,Private room,837.0,167.0,30,45,2.0,0
A Hidden gem in the heart of Washington Heights,Kristi,Manhattan,Washington Heights,Private room,874.0,175.0,3,0,2.0,363
Private Williamsburg SunDrenched Large  Studio,Lindsay,Brooklyn,Williamsburg,Entire home/apt,505.0,101.0,2,35,1.0,170
Adorable one bedroom next to Central Park,Amy,Manhattan,Upper West Side,Entire home/apt,1115.0,223.0,30,9,5.0,258
"Coolest neighborhood, cutest apartment.",China,Manhattan,Two Bridges,Entire home/apt,1077.0,215.0,2,8,3.0,0
Home Away from Home: Crystalline dreams,J-,Brooklyn,Bushwick,Private room,1179.0,236.0,3,8,4.0,104
Manhattan Condo at Midtown 45,Nadine,Manhattan,Midtown,Private room,765.0,153.0,1,6,5.0,82
Chelsea 2-Bedroom Doorman Apt NEW,Carole,Manhattan,Chelsea,Entire home/apt,671.0,134.0,1,6,2.0,140
Shabby Chic Modern Chelsea Studio,Jason,Manhattan,Chelsea,Entire home/apt,823.0,165.0,2,52,4.0,30
Cozy/Simple Private Room#1 in Broadway AVE,Rock,Brooklyn,Bushwick,Private room,1049.0,210.0,1,6,2.0,167
Gramercy apartment,Raul,Manhattan,Kips Bay,Entire home/apt,417.0,83.0,2,26,4.0,163
Luxurious studio - West 57th Street Club by Hilton,Betsy,Manhattan,Midtown,Entire home/apt,729.0,146.0,2,4,2.0,91
Bellrose  Home - 15 minutes from both NYC airports,Tamara,Queens,Bellerose,Private room,864.0,173.0,3,7,4.0,343
Cozy and Clean Room,Dante,Brooklyn,Williamsburg,Private room,1071.0,214.0,4,0,2.0,361
big nice warm place in Stuytown,Veco,Manhattan,Stuyvesant Town,Private room,967.0,193.0,5,0,4.0,12
Incredible studio rental in Manhattan ðŸ˜,Danilo,Manhattan,East Harlem,Entire home/apt,441.0,88.0,30,1,5.0,271
Spacious room with amazing view,Kenza,Manhattan,East Village,Private room,434.0,87.0,2,3,5.0,0
Cozy Bedroom,Adriana,Queens,Elmhurst,Private room,458.0,92.0,2,15,4.0,290
Stylish 1 BD in Garment District,Trevor,Manhattan,Hell's Kitchen,Entire home/apt,894.0,179.0,3,21,1.0,3
Brooklyn Designer 3 Bedrms free parking,Ruth,Brooklyn,Bushwick,Entire home/apt,264.0,53.0,3,79,1.0,258
